Abkhazia	
Afghanistan	983.65231367466
Akrotiri and Dhekelia	
Albania	5958.02119672736
Algeria	6133.78276274306
American Samoa	13265.961001245
Andorra	39244.406089215
Angola	4950.17855339
Anguilla	25037.5469899257
Antigua and Barbuda	17161.6862603199
Argentina	12748.363622324
Armenia	5011.55468573849
Aruba	26645.2549577539
Australia	34196.8124212486
Austria	36335.8072409817
Azerbaijan	7617.24187617796
Bahamas	23369.1253597903
Bahrain	30260.8043256358
Bangladesh	1402.30816191509
Barbados	16938.2059211764
Belarus	10271.5938420945
Belgium	33437.8103657768
Belize	7197.10469659992
Benin	1419.81874092531
Bermuda	75573.5380542586
Bhutan	4456.57473172418
Bolivia	3803.12712504332
Bosnia and Herzegovina	7320.47068193852
Botswana	13010.6977708577
Brazil	9290.11862668878
British Virgin Islands	44836.2094176783
Brunei	48085.8864755838
Bulgaria	10713.2774668433
Burkina Faso	1188.68518541813
Burundi	445.873956719168
Cambodia	1712.49025335701
Cameroon	2003.97293179051
Canada	36002.329013253
Cape Verde	3289.42531685476
Cayman Islands	50165.0690379815
Central African Rep.	711.063326844217
Chad	1670.29507726895
Channel Islands	
Chile	13379.7442996461
China	6374.65716397673
Christmas Island	
Cocos Island	
Colombia	7022.76802165832
Comoros	1037.45849149516
Congo, Dem. Rep.	348.969089662913
Congo, Rep.	3575.5514065351
Cook Islands	18920.3337368264
Costa Rica	9764.11523849593
Cote d'Ivoire	1519.11927009458
Croatia	14607.3244516432
Cuba	8892.39621607158
Cyprus	25664.0721437953
Czech Rep.	22800.9982146488
Czechoslovakia	
Denmark	35086.6294485978
Djibouti	2045.86979343026
Dominica	9253.93384298503
Dominican Rep.	5992.59390131945
East Germany	
Ecuador	6767.33153608611
Egypt	5494.3350783944
El Salvador	5782.15586082001
Equatorial Guinea	13607.1214969239
Eritrea	642.854684471993
Eritrea and Ethiopia	
Estonia	19784.2449681107
Ethiopia	704.191863623353
Faeroe Islands	
Falkland Islands (Malvinas)	
Fiji	4177.25789974991
Finland	33226.464576108
France	30652.663054339
French Guiana	
French Polynesia	26209.3571713267
Gabon	12511.1493250664
Gambia	718.899736588121
Georgia	4235.1916706129
Germany	32836.5147484572
Ghana	1315.81514117323
Gibraltar	
Greece	27757.2316859706
Greenland	37009.6506015254
Grenada	9243.13813404182
Guadeloupe	
Guam	
Guatemala	5221.21123374562
Guernsey	
Guinea	946.199809956343
Guinea-Bissau	575.973459274806
Guyana	3613.05168741137
Haiti	1201.50885834141
Holy See	
Honduras	3546.42266465874
Hong Kong, China	40068.5820019013
Hungary	17752.932528934
Iceland	37839.2103927946
India	2488.32884996574
Indonesia	3527.07020293246
Iran	11759.1966453149
Iraq	3371.75651792146
Ireland	39959.7450949029
Isle of Man	39642.7496753182
Israel	25558.550424143
Italy	28511.2897267021
Jamaica	7364.75108983678
Japan	31426.7869358934
Jersey	
Jordan	4801.66869554061
Kazakhstan	10267.454013556
Kenya	1457.04256149237
Kiribati	3311.64221966882
Korea, Dem. Rep.	1544.46967704877
Korea, Rep.	23370.0678741116
Korea, United	
Kosovo	3351.7211086594
Kuwait	45069.2481858174
Kyrgyzstan	1897.20460460546
Laos	2058.16590281417
Latvia	16400.9564123292
Lebanon	11209.211814809
Lesotho	1549.99289598898
Liberia	433.367372727614
Libya	11722.639442
Liechtenstein	95877.6492154935
Lithuania	16863.5862223398
Luxembourg	75864.9443728401
Macao, China	46418.6725609206
Macedonia, FYR	8206.15989325386
Madagascar	1044.08913927267
Malawi	730.205664824178
Malaysia	12533.2260441646
Maldives	5117.09005338618
Mali	1059.52363669842
Malta	21514.5846113273
Marshall Islands	6447.34325115726
Martinique	
Mauritania	1806.15686390838
Mauritius	11044.9441790922
Mayotte	
Mexico	11924.4589899311
Micronesia, Fed. Sts.	5441.67355837596
Moldova	2562.9634232659
Monaco	46871.970325535
Mongolia	3081.88450174977
Montenegro	9199.5358701979
Montserrat	11721.3847653885
Morocco	3840.50818105623
Mozambique	832.672038892611
Myanmar	1422.89977751462
Nagorno-Karabakh	
Namibia	4950.94257763335
Nauru	4910.19097397651
Nepal	1093.4530885569
Netherlands	37169.0002510588
Netherlands Antilles	23192.8270402793
New Caledonia	34026.3250574516
New Zealand	25605.6499885458
Nicaragua	2829.06768495144
Niger	608.253673622869
Nigeria	2036.02951671942
Niue	
Norfolk Island	
Northern Cyprus	
Northern Mariana Islands	
Norway	48979.0628790809
Oman	21990.9614283521
Pakistan	2611.61930825087
Palau	13539.6119067036
Panama	9868.15745394251
Papua New Guinea	1828.01374937832
Paraguay	4141.75815890369
Peru	7317.63588682431
Philippines	3161.94766749376
Pitcairn	
Poland	15416.0970176844
Portugal	20638.9146512694
Puerto Rico	18967.7900550372
Qatar	74095.3806417947
Reunion	7670.1225578881
Romania	10779.8470698705
Russia	14020.4580432571
Rwanda	901.511201066855
Saint Barthélemy	
Saint Helena	
Saint Kitts and Nevis	14424.973801743
Saint Lucia	10163.9654088449
Saint Martin	
Saint Vincent and the Grenadines	7308.70116004592
Saint-Pierre-et-Miquelon	
Samoa	5027.02516014757
San Marino	43684.3506652454
Sao Tome and Principe	1626.8909268437
Saudi Arabia	22212.0343150563
Senegal	1707.39209483475
Serbia	9475.92519362501
Serbia and Montenegro	
Serbia excluding Kosovo	
Seychelles	16668.0330811529
Sierra Leone	838.792179462712
Singapore	44673.8522109833
Slovak Republic	18969.7123309787
Slovenia	25878.7551100554
Solomon Islands	1808.21422808589
Somalia	938.258156200159
Somaliland	
South Africa	9160.53269124821
South Ossetia	
South Sudan	2635.90978275436
Spain	28403.0314070561
Sri Lanka	3940.57632231215
Sudan	2524.53435746258
Suriname	7861.12959361868
Svalbard	
Swaziland	5023.4598285061
Sweden	34091.9336363044
Switzerland	37790.7302247628
Syria	4290.11368425573
Taiwan	28892.403772681
Tajikistan	1563.0389957265
Tanzania	1100.83477192936
Thailand	7508.36788253245
Timor-Leste	2269.59709073353
Togo	899.080222932746
Tokelau	
Tonga	4747.17083739329
Transnistria	
Trinidad and Tobago	18084.5069629765
Tunisia	7114.50300299905
Turkey	8506.6945553121
Turkmenistan	5070.32295364131
Turks and Caicos Islands	35747.7164988646
Tuvalu	
Uganda	1103.74942795412
Ukraine	6539.99186734504
United Arab Emirates	35530.7798584165
United Kingdom	33165.2016374155
United States	42764.2212461263
Uruguay	10220.5358550181
USSR	
Uzbekistan	2259.87026733008
Wallis et Futuna	
Vanuatu	3790.98400064511
Venezuela	11453.1756209813
West Bank and Gaza	3373.94907741256
West Germany	
Western Sahara	
Vietnam	2453.80166463832
Virgin Islands (U.S.)	
Yemen Arab Republic (Former)	
Yemen Democratic (Former)	
Yemen, Rep.	2283.39197903668
Yugoslavia	
Zambia	1263.45062654913
Zimbabwe	499.683552925867
Åland   
